,PRICE,BRAND,YEAR,COLOR,STATE
0,6300,TOYOTA,2008,BLACK,NEW JERSEY
1,2899,FORD,2011,SILVER,TENNESSEE
2,5350,DODGE,2018,SILVER,GEORGIA
3,25000,FORD,2014,BLUE,VIRGINIA
4,27700,CHEVROLET,2018,RED,FLORIDA
5,5700,DODGE,2018,WHITE,TEXAS
6,7300,CHEVROLET,2010,BLACK,GEORGIA
7,13350,GMC,2017,GRAY,CALIFORNIA
8,14600,CHEVROLET,2018,SILVER,FLORIDA
9,5250,FORD,2017,BLACK,TEXAS
10,10400,DODGE,2009,ORANGE,GEORGIA
11,12920,GMC,2017,WHITE,CALIFORNIA
12,31900,CHEVROLET,2018,BLACK,TENNESSEE
13,5430,CHRYSLER,2017,GRAY,TEXAS
14,20700,FORD,2013,BLACK,VIRGINIA
15,12710,GMC,2017,WHITE,CALIFORNIA
16,5200,KIA,2018,BLUE,NORTH CAROLINA
17,16500,BUICK,2018,RED,TENNESSEE
18,5210,FORD,2017,WHITE,TEXAS
19,38100,FORD,2013,GRAY,VIRGINIA
20,12520,GMC,2017,WHITE,CALIFORNIA
21,7300,KIA,2018,BLACK,NORTH CAROLINA
22,15000,CHEVROLET,2015,BLACK,OHIO
23,6180,FORD,2017,BLUE,TEXAS
24,20800,FORD,2013,SILVER,VIRGINIA
25,11900,GMC,2017,SILVER,CALIFORNIA
26,21500,KIA,2020,BLUE,NORTH CAROLINA
27,12000,BUICK,2014,BROWN,OHIO
28,4190,FORD,2017,WHITE,TEXAS
29,13000,FORD,2008,WHITE,TENNESSEE
30,12710,GMC,2017,SILVER,CALIFORNIA
31,18500,INFINITI,2016,GRAY,NEW YORK
32,29800,CHEVROLET,1973,RED,PENNSYLVANIA
33,5330,FORD,2017,NO_COLOR,TEXAS
34,13000,FORD,2003,GRAY,VIRGINIA
35,11900,GMC,2017,BLACK,CALIFORNIA
36,16600,MERCEDES-BENZ,2016,WHITE,NEW YORK
37,19200,CHEVROLET,2018,WHITE,TENNESSEE
38,7320,FORD,2017,GOLD,TEXAS
39,7000,FORD,2003,WHITE,TENNESSEE
40,12710,GMC,2017,WHITE,CALIFORNIA
41,16600,MERCEDES-BENZ,2016,WHITE,NEW YORK
42,30500,CHEVROLET,2018,RED,TENNESSEE
43,6330,FORD,2017,RED,TEXAS
44,55000,FORD,2017,BLACK,PENNSYLVANIA
45,12520,GMC,2017,BLACK,CALIFORNIA
46,16200,JEEP,2019,RED,NORTH CAROLINA
47,19000,CHEVROLET,2017,WHITE,TENNESSEE
48,5580,DODGE,2017,GRAY,TEXAS
49,54000,FORD,2017,BLACK,PENNSYLVANIA
50,12710,GMC,2017,RED,CALIFORNIA
51,16000,JEEP,2019,SILVER,NORTH CAROLINA
52,27000,BUICK,2017,NO_COLOR,TENNESSEE
53,7760,FORD,2017,GRAY,TEXAS
54,19600,CHRYSLER,2019,GRAY,SOUTH CAROLINA
55,12920,GMC,2017,SILVER,CALIFORNIA
56,20000,JEEP,2019,CHARCOAL,NORTH CAROLINA
57,18100,BUICK,2017,SILVER,FLORIDA
58,23000,CHRYSLER,2020,WHITE,OHIO
59,18500,CHRYSLER,2019,GRAY,SOUTH CAROLINA
60,13490,GMC,2017,WHITE,CALIFORNIA
61,20700,JEEP,2019,WHITE,NORTH CAROLINA
62,17800,CHEVROLET,2017,BLACK,FLORIDA
63,6650,FORD,2017,BLACK,TEXAS
64,29100,CHRYSLER,2019,RED,SOUTH CAROLINA
65,12710,GMC,2017,SILVER,CALIFORNIA
66,21100,JEEP,2019,SILVER,NORTH CAROLINA
67,18600,CHEVROLET,2017,WHITE,FLORIDA
68,4340,FORD,2017,SILVER,TEXAS
69,19300,CHRYSLER,2019,GRAY,SOUTH CAROLINA
70,12780,GMC,2017,BLACK,CALIFORNIA
71,15800,JEEP,2019,CHARCOAL,NORTH CAROLINA
72,29400,BMW,2017,BLACK,TENNESSEE
73,4430,FORD,2017,BLACK,TEXAS
74,19400,CHRYSLER,2019,GRAY,SOUTH CAROLINA
75,12520,GMC,2017,RED,CALIFORNIA
76,15900,JEEP,2019,RED,NORTH CAROLINA
77,26400,BUICK,2017,WHITE,FLORIDA
78,4140,FORD,2017,BLACK,TEXAS
79,18300,CHRYSLER,2019,GRAY,SOUTH CAROLINA
80,12520,GMC,2017,BLACK,CALIFORNIA
81,17900,JEEP,2019,RED,NORTH CAROLINA
82,18300,CHEVROLET,2017,BLACK,FLORIDA
83,4640,FORD,2017,BLUE,TEXAS
84,24000,FORD,2016,BLACK,PENNSYLVANIA
85,13200,GMC,2017,WHITE,CALIFORNIA
